,,,,,Nominal,NEER,
,  Bureau Weighted Average,,Bureau,Official,Effective,INDEX, End  
,,,Mid,Mid-Rate,Exchange Rate,, of period 
Year/Month, Buying Rate, Selling Rate,Rate,(Average),,(2010 = 100),
,,,,,,,
,,,,,,,
1951, …   , …   , …   ,7.14, …   , …   , 7.14 
1952, …   , …   , …   ,7.14, …   , …   , 7.14 
1953, …   , …   , …   ,7.14, …   , …   , 7.14 
1954, …   , …   , …   ,7.14, …   , …   , 7.14 
1955, …   , …   , …   ,7.14, …   , …   , 7.14 
1956, …   , …   , …   ,7.14, …   , …   , 7.14 
1957, …   , …   , …   ,7.14, …   , …   , 7.14 
1958, …   , …   , …   ,7.14, …   , …   , 7.14 
1959, …   , …   , …   ,7.14, …   , …   , 7.14 
1960, …   , …   , …   ,7.14, …   , …   , 7.14 
1961, …   , …   , …   ,7.14, …   , …   , 7.14 
1962, …   , …   , …   ,7.14, …   , …   , 7.14 
1963, …   , …   , …   ,7.14, …   , …   , 7.14 
1964, …   , …   , …   ,7.14, …   , …   , 7.14 
1965, …   , …   , …   ,7.14, …   , …   , 7.14 
1966, …   , …   , …   ,7.14, …   , …   , 7.14 
1967, …   , …   , …   ,7.14, …   , …   , 7.14 
1968, …   , …   , …   ,7.14, …   , …   , 7.14 
1969, …   , …   , …   ,7.14, …   , …   , 7.14 
1970, …   , …   , …   ,7.14, …   , …   , 7.14 
1971, …   , …   , …   ,7.14, …   , …   , 7.14 
1972, …   , …   , …   ,7.14, …   , …   , 7.14 
1973, …   , …   , …   ,7.02, …   , …   , 6.90 
1974, …   , …   , …   ,7.14, …   , …   , 7.14 
1975, …   , …   , …   ,7.42, …   , …   , 8.26 
1976, …   , …   , …   ,8.27, …   , …   , 8.31 
1977, …   , …   , …   ,8.26, …   , …   , 7.95 
1978, …   , …   , …   ,7.74, …   , …   , 7.42 
1979, …   , …   , …   ,7.48, …   , …   , 7.33 
1980, …   , …   , …   ,7.42, …   , …   , 7.57 
1981, …   , …   , …   ,48.41 , …   , …   , …   
1982, …   , …   , …   ,94.05 , …   , …   , …   
1983, …   , …   , …   ,153.86 , …   , …   , …   
1984, …   , …   , …   ,359.67 , …   , …   , …   
1985, …   , …   , …   ,674.46 , …   , …   , …   
1986, …   , …   , …   ,"1,426.58 ", …   , …   , …   
1987, …   , …   , …   ,44.67 ,5.59,3.50, …   
1988, …   , …   , …   ,106.25 ,13.40,8.39, …   
1989, …   , …   , …   ,231.67 ,25.83,16.17, …   
1990,701.03 ,735.54 ,718.29 ,436.33 ,50.60,31.67, …   
1991,915.84 ,954.24 ,935.04 ,749.58 ,81.81,50.26, …   
1992,"1,214.79 ","1,259.92 ","1,237.35 ","1,145.43 ",122.89,75.50, …   
1993,"1,201.33 ","1,233.02 ","1,217.18 ","1,195.02 ",108.66,66.76, …   
1994,986.67 ,"1,020.13 ","1,003.40 ",979.45 ,87.37,53.68, …   
1995,963.35 ,988.56 ,975.96 ,968.65 ,85.43,55.95," 1,009.45 "
1996,"1,043.31 ","1,065.19 ","1,054.25 ","1,045.36 ",85.88,56.25," 1,029.59 "
1997,"1,073.67 ","1,095.86 ","1,084.76 ","1,083.01 ",83.68,54.80,
1998,"1,230.23 ","1,245.62 ","1,237.93 ","1,240.22 ",90.27,59.12," 1,362.69 "
1999,"1,448.23 ","1,467.52 ","1,457.88 ","1,455.59 ",174.79,66.16," 1,506.04 "
2000,"1,636.29 ","1,656.95 ","1,646.62 ","1,644.47 ",183.76,69.55," 1,781.13 "
2001,"1,742.62 ","1,767.69 ","1,755.15 ","1,755.66 ",185.68,70.28," 1,727.40 "
2002,"1,790.54 ","1,802.66 ","1,796.60 ","1,797.00 ",187.42,70.94," 1,852.57 "
2003,"1,955.76 ","1,970.59 ","1,963.17 ","1,963.68 ",227.28,86.03," 1,976.60 "
2004,"1,801.42 ","1,821.75 ","1,811.59 ","1,810.77 ",219.56,83.11," 1,738.59 "
2005,"1,775.71 ","1,782.67 ","1,779.19 ","1,780.67 ",122.55,83.52," 1,816.86 "
2006,"1,822.86 ","1,829.26 ","1,826.06 ","1,831.45 ",127.65,87.00," 1,741.44 "
2007,"1,710.52 ","1,721.51 ","1,716.01 ","1,723.49 ",124.71,85.00," 1,697.34 "
2008,"1,704.58 ","1,715.48 ","1,710.03 ","1,720.44 ",110.70,84.61," 1,949.18 "
2009,"2,022.20 ","2,030.96 ","2,026.58 ","2,030.49 ",121.40,92.79," 1,899.71 "
2010,"2,170.24 ","2,179.44 ","2,174.80 ","2,177.56 ",130.83,100.00," 2,308.30 "
2011,"2,509.01 ","2,522.73 ","2,515.87 ","2,522.75 ",120.46,114.25," 2,490.99 "
2012,"2,493.89 ","2,504.29 ","2,499.09 ","2,503.31 ",165.20,109.19," 2,685.95 "
2013,"2,578.46 ","2,586.96 ","2,582.71 ","2,586.46 ",163.48,108.06," 2,527.96 "
2014,"2,590.19 ","2,599.30 ","2,594.75 ","2,600.33 ",159.23,105.25," 2,773.07 "
2015,"3,226.48 ","3,241.72 ","3,234.10 ","3,245.54 ",188.95,121.73," 3,377.01 "
2016,"3,406.55 ","3,421.89 ","3,414.22 ","3,420.45 ",193.69,124.78," 3,610.50 "
2017,"3,596.27 ","3,642.80 ","3,619.53 ","3,611.36 ",203.15,130.88," 3,635.08 "
,,,,,,,
,,,,,,,
,,,,,,,
Notes:,,,,,,,
"      (1)       Note that in the past, the official rate reported has been the rate as at the end of period.",,,,,,,
"                 To improve comparability with the weighted average bureaux rate, we are now reporting ",,,,,,,
"                  the average official rate for each month. Similarly,the auction rate reported is the",,,,,,,
                  period average.,,,,,,,
,,,,,,,
      (2)      The premium is the difference of the bureaux rate over the official,,,,,,,
"                  from July 1990 to February 1992. From March 1992, with the change in policy,",,,,,,,
                  the premium is the mark up of the average bureaux rate over the auction rate.,,,,,,,
,,,,,,,
      (3)      The bureaux rate spread is the spread between the average selling and buying rates.,,,,,,,
,,,,,,,
"      (4)      Beginning November 1993, the weighted average inter-bank mid-rate is the official mid-rate.",,,,,,,
,,,,,,,
Source: Bank of Uganda,,,,,,,
