,Purchases,Sales,Mid-rate,Spread,Dep(+)/App(-),,,,
,Weighted Avg.,Weighted  Avg.,(UgShs/US$),(UgShs),(UgShs),,,,
Month,(UgShs/US$),(UgShs/US$),,,,,,,
,,,,,,,,,
,,,,,,,,,
1-Sep-05," 1,813.58 "," 1,829.58 ","1,821.58",16.00,,,,,
2-Sep-05," 1,826.78 "," 1,842.30 ","1,834.54",15.52,12.96,,,,
5-Sep-05," 1,828.29 "," 1,841.86 ","1,835.08",13.57,0.53,,,,
6-Sep-05," 1,830.74 "," 1,842.72 ","1,836.73",11.98,1.66,,,,
7-Sep-05," 1,830.61 "," 1,842.99 ","1,836.80",12.38,0.07,,,,
8-Sep-05," 1,830.33 "," 1,841.34 ","1,835.84",11.01,-0.96,,,,
9-Sep-05," 1,823.98 "," 1,835.14 ","1,829.56",11.16,-6.28,,,,
12-Sep-05," 1,826.17 "," 1,836.46 ","1,831.32",10.29,1.76,,,,
13-Sep-05," 1,829.84 "," 1,839.46 ","1,834.65",9.62,3.34,,,,
14-Sep-05," 1,840.72 "," 1,851.54 ","1,846.13",10.82,11.48,,,,
15-Sep-05," 1,848.57 "," 1,858.57 ","1,853.57",10.00,7.44,,,,
16-Sep-05," 1,845.25 "," 1,856.05 ","1,850.65",10.80,-2.92,,,,
19-Sep-05," 1,842.41 "," 1,854.61 ","1,848.51",12.20,-2.14,,,,
20-Sep-05," 1,847.14 "," 1,858.52 ","1,852.83",11.38,4.32,,,,
21-Sep-05," 1,852.74 "," 1,864.39 ","1,858.57",11.65,5.74,,,,
22-Sep-05," 1,852.69 "," 1,863.92 ","1,858.31",11.23,-0.26,,,,
23-Sep-05," 1,853.93 "," 1,864.80 ","1,859.37",10.87,1.06,,,,
26-Sep-05," 1,853.57 "," 1,864.39 ","1,858.98",10.82,-0.38,,,,
27-Sep-05," 1,859.79 "," 1,869.84 ","1,864.82",10.05,5.84,,,,
28-Sep-05," 1,863.83 "," 1,873.53 ","1,868.68",9.70,3.86,,,,
29-Sep-05," 1,862.74 "," 1,873.63 ","1,868.19",10.89,-0.49,,,,
30-Sep-05," 1,856.96 "," 1,868.40 ","1,862.68",11.44,-5.50,,,,
3-Oct-05," 1,859.45 "," 1,867.70 ","1,863.58",8.25,0.89,,,,
4-Oct-05," 1,861.89 "," 1,871.22 ","1,866.56",9.33,2.98,,,,
5-Oct-05," 1,861.39 "," 1,871.33 ","1,866.36",9.94,-0.19,,,,
6-Oct-05," 1,856.54 "," 1,867.18 ","1,861.86",10.64,-4.50,,,,
7-Oct-05," 1,857.33 "," 1,867.27 ","1,862.30",9.94,0.44,,,,
10-Oct-05," 1,855.51 "," 1,866.10 ","1,860.81",10.59,-1.50,,,,
11-Oct-05," 1,857.79 "," 1,867.25 ","1,862.52",9.46,1.72,,,,
12-Oct-05," 1,858.06 "," 1,866.85 ","1,862.46",8.79,-0.07,,,,
13-Oct-05," 1,857.14 "," 1,866.73 ","1,861.94",9.59,-0.52,,,,
14-Oct-05," 1,858.41 "," 1,868.36 ","1,863.39",9.95,1.45,,,,
17-Oct-05," 1,859.16 "," 1,868.85 ","1,864.01",9.69,0.62,,,,
18-Oct-05," 1,859.07 "," 1,868.93 ","1,864.00",9.86,-0.01,,,,
19-Oct-05," 1,857.92 "," 1,867.95 ","1,862.94",10.03,-1.07,,,,
20-Oct-05," 1,852.02 "," 1,862.31 ","1,857.17",10.29,-5.77,,,,
21-Oct-05," 1,841.43 "," 1,852.88 ","1,847.16",11.45,-10.01,,,,
25-Oct-05," 1,836.58 "," 1,847.47 ","1,842.03",10.89,-5.13,,,,
26-Oct-05," 1,833.62 "," 1,844.31 ","1,838.97",10.69,-3.06,,,,
27-Oct-05," 1,831.63 "," 1,842.47 ","1,837.05",10.84,-1.91,,,,
28-Oct-05," 1,826.70 "," 1,837.55 ","1,832.13",10.85,-4.93,,,,
31-Oct-05," 1,824.66 "," 1,835.60 ","1,830.13",10.94,-1.99,,,,
1-Nov-05," 1,830.83 "," 1,842.62 ","1,836.73",11.79,6.59,,,,
2-Nov-05," 1,836.85 "," 1,847.89 ","1,842.37",11.04,5.64,,,,
4-Nov-05," 1,835.15 "," 1,847.29 ","1,841.22",12.14,-1.15,,,,
7-Nov-05," 1,835.36 "," 1,846.89 ","1,841.13",11.53,-0.10,,,,
8-Nov-05," 1,832.94 "," 1,842.60 ","1,837.77",9.66,-3.36,,,,
9-Nov-05," 1,829.12 "," 1,838.02 ","1,833.57",8.90,-4.20,,,,
10-Nov-05," 1,820.23 "," 1,832.29 ","1,826.26",12.06,-7.31,,,,
11-Nov-05," 1,823.04 "," 1,833.95 ","1,828.50",10.91,2.23,,,,
14-Nov-05," 1,822.92 "," 1,833.79 ","1,828.36",10.87,-0.14,,,,
15-Nov-05," 1,827.37 "," 1,840.50 ","1,833.94",13.13,5.58,,,,
16-Nov-05," 1,838.14 "," 1,848.90 ","1,843.52",10.76,9.59,,,,
17-Nov-05," 1,837.12 "," 1,847.12 ","1,842.12",10.00,-1.40,,,,
18-Nov-05," 1,834.42 "," 1,843.74 ","1,839.08",9.32,-3.04,,,,
21-Nov-05," 1,833.07 "," 1,843.34 ","1,838.21",10.27,-0.88,,,,
22-Nov-05," 1,831.49 "," 1,839.77 ","1,835.63",8.28,-2.57,,,,
23-Nov-05," 1,825.75 "," 1,835.31 ","1,830.53",9.56,-5.10,,,,
